player_id,name,true_strength
1,Franz Beckenbauer,1883.22
2,Gerd Müller,1849.71
3,Lothar Matthäus,1840.99
4,Lionel Messi,1804.48
5,Pelé,1731.66
6,Cristiano Ronaldo,1708.22
7,Johan Cruyff,1705.95
8,Diego Maradona,1686.34
9,Zinedine Zidane,1682.71
10,Miroslav Klose,1670.56
11,Karl-Heinz Rummenigge,1654.87
12,Manuel Neuer,1633.42
13,Philipp Lahm,1625.33
14,Bastian Schweinsteiger,1624.92
15,Toni Kroos,1612.77
16,Thomas Müller,1607.83
17,Sepp Maier,1598.46
18,Oliver Kahn,1591.33
19,Paul Breitner,1589.4
20,Andreas Brehme,1587.32
21,Matthias Sammer,1579.64
22,Uwe Seeler,1573.2
23,Fritz Walter,1567.68
24,Rivaldo,1565.24
25,Ronaldinho,1549.3
26,Ronaldo Nazário,1532.32
27,Xavi,1531.72
28,Andrés Iniesta,1528.8
29,Paolo Maldini,1515.72
30,Gianluigi Buffon,1485.05
31,Thierry Henry,1481.2
32,Michel Platini,1479.31
33,Marco van Basten,1478.4
34,Franco Baresi,1459.39
35,Kaká,1427.14
36,Luka Modrić,1418.4
37,Luis Suárez,1404.53
38,Neymar,1400.56
39,Mesut Özil,1379.96
40,Michael Ballack,1353.09
41,Mats Hummels,1348.21
42,Jürgen Klinsmann,1332.8
43,Rudi Völler,1279.24
44,Bernd Schuster,1261.06
45,Karl-Heinz Schnellinger,1217.32
46,Thomas Häßler,1206.58
47,Mario Götze,1096.87
48,Jürgen Kohler,1064.08
